"","graph.type","degree","p","power","mu","fw","bw","size","graph.no","lambda_0","lambda_1","lambda_2"
"102","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,1,0
"103","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,1,0
"104","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,1,0
"105","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,1,0
"106","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,1,0
"107","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,1,0
"108","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,1,0
"109","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,1,0
"110","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,1,0
"111","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,1,0
"112","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,1,0
"113","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,1,0
"114","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,1,0
"115","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,1,0
"116","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,1,0
"117","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,1,0
"118","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,1,0
"119","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,1,0
"120","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,1,0
"121","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.25,0.1
"122","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.25,0.1
"123","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.25,0.1
"124","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.25,0.1
"125","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.25,0.1
"126","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.25,0.1
"127","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.25,0.1
"128","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.25,0.1
"129","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.25,0.1
"130","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.25,0.1
"131","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.25,0.1
"132","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.25,0.1
"133","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.25,0.1
"134","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.25,0.1
"135","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.25,0.1
"136","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.25,0.1
"137","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.25,0.1
"138","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.25,0.1
"139","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.25,0.1
"140","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.25,0.1
"141","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.25,0.1
"142","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.25,0.1
"143","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.25,0.1
"144","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.25,0.1
"145","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.25,0.1
"146","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.25,0.1
"147","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.25,0.1
"148","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.25,0.1
"149","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.25,0.1
"150","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.25,0.1
"151","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.5,0.1
"152","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.5,0.1
"153","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.5,0.1
"154","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.5,0.1
"155","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.5,0.1
"156","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.5,0.1
"157","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.5,0.1
"158","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.5,0.1
"159","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.5,0.1
"160","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.5,0.1
"161","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.5,0.1
"162","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.5,0.1
"163","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.5,0.1
"164","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.5,0.1
"165","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.5,0.1
"166","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.5,0.1
"167","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.5,0.1
"168","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.5,0.1
